day,discharged,deaths,total
2021-09-01,66222,55,67800
2021-09-02,66312,55,67991
2021-09-03,66368,55,68210
2021-09-04,66512,55,68469
2021-09-05,66600,55,68660
2021-09-06,66719,55,68901
2021-09-07,66867,55,69233
2021-09-08,67212,56,69582
2021-09-09,67433,57,70039
2021-09-10,67767,58,70612
2021-09-11,67988,58,71167
2021-09-12,68188,58,71687
2021-09-13,68435,58,72294
2021-09-14,68600,58,73131
2021-09-15,68877,58,73938
2021-09-16,69251,59,74848
2021-09-17,69614,59,75783
2021-09-18,70124,60,76792
2021-09-19,70600,60,77804
2021-09-20,71087,62,78721
2021-09-21,71628,65,79899
2021-09-22,72090,68,81356
2021-09-23,72411,70,82860
2021-09-24,73395,73,84510
2021-09-25,74135,76,85953
2021-09-26,74652,78,87892
2021-09-27,75176,80,89539
2021-09-28,76221,85,91775
2021-09-29,77307,93,94043
2021-09-30,78174,95,96521
2021-10-01,79124,103,99430
2021-10-02,80727,107,101786
2021-10-03,81926,113,103843
2021-10-04,84466,121,106318
2021-10-05,86211,130,109804
2021-10-06,89110,133,113381
2021-10-07,92555,136,116864
2021-10-08,95009,142,120454
2021-10-09,98028,153,124157
2021-10-10,100497,162,126966
2021-10-11,102746,172,129229
2021-10-12,104856,183,132205
2021-10-13,108071,192,135395
2021-10-14,111498,207,138327
2021-10-15,114782,215,141772
2021-10-16,118211,224,145120
2021-10-17,121965,233,148178
2021-10-18,125036,239,150731
2021-10-19,127571,246,154725
2021-10-20,130286,264,158587
2021-10-21,132892,280,162026
2021-10-22,135717,294,165663
2021-10-23,139229,300,169261
2021-10-24,142598,315,172644
2021-10-25,145552,329,175818
2021-10-26,148408,339,179095
2021-10-27,151580,349,184419
2021-10-28,155928,364,187851
2021-10-29,158939,380,192099
2021-10-30,162851,394,195211
2021-10-31,166610,407,198374
2021-11-01,170162,421,200844
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
