day,discharged,deaths,total
2022-01-19,286037,844,296077
2022-01-20,287003,845,297549
2022-01-21,295005,846,307813
2022-01-22,297125,847,310276
2022-01-23,299448,848,313772
2022-01-24,302465,848,316774
2022-01-25,305532,850,322770
2022-01-26,308480,850,327602
2022-01-27,311589,850,333071
2022-01-28,317043,853,338625
2022-01-29,321841,854,343832
2022-01-30,326996,854,348330
2022-01-31,332525,855,352811
2022-02-01,337743,858,359075
2022-02-02,342617,859,362176
2022-02-03,347231,860,366473
2022-02-04,353167,866,379681
2022-02-05,355611,866,379681
2022-02-06,360343,868,390071
2022-02-07,372384,874,405629
2022-02-08,381276,877,418640
2022-02-09,389328,881,428954
2022-02-10,397699,882,439640
2022-02-11,410431,885,449570
2022-02-12,419952,893,460075
2022-02-13,430085,897,469495
2022-02-14,440383,906,478577
2022-02-15,450815,913,497997
2022-02-16,460268,926,514880
2022-02-17,469693,930,533425
2022-02-18,489299,937,551519
2022-02-19,504516,941,576355
2022-02-20,521589,945,582638
2022-02-21,540287,952,596261
2022-02-22,557450,956,622293
2022-02-23,572748,963,642605
2022-02-24,586683,975,661198
2022-02-25,612010,986,679795
2022-02-26,631318,999,696652
2022-02-27,650359,1007,710880
2022-02-28,669243,1019,724424
2022-03-01,686448,1030,748504
2022-03-02,701170,1040,767663
2022-03-03,715419,1049,785825
2022-03-04,738964,1067,803389
2022-03-05,757741,1073,819663
2022-03-06,775913,1078,832821
2022-03-07,794087,1084,846341
2022-03-08,810754,1099,868542
